codigo_acao,codigo_elemento_despesa,codigo_favorecido,codigo_funcao,codigo_grupo_despesa,codigo_orgao,codigo_orgao_superior,codigo_programa,codigo_subfuncao,codigo_unidade_gestora,data_pagamento,data_pagamento_original,gestao_pagamento,linguagem_cidada,nome_acao,nome_elemento_despesa,nome_favorecido,nome_funcao,nome_grupo_despesa,nome_orgao,nome_orgao_superior,nome_programa,nome_subfuncao,nome_unidade_gestora,numero_documento,valor,ano,mes
00M1,8,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,331,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Benefícios Assistenciais decorrentes do Auxílio-Funeral e Natalidade,Outros Benefícios Assistenciais do servidor e do militar,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Proteção e Benefícios ao Trabalhador,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",11392.50,2014,7
2010,8,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,331,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Assistência Pré-Escolar,"Assistência Pré-Escolar aos Dependentes dos Servidores Civis, Empregados e Militares",Outros Benefícios Assistenciais do servidor e do militar,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Proteção e Benefícios ao Trabalhador,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",7787.25,2014,7
2684,30,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Material de Consumo,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",43063.49,2014,7
7U23,33,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2070,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Implementação do Plano Nacional de Segurança Pública para a Realização dos Grandes Eventos,Passagens e Despesas com Locomoção,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Segurança Pública com Cidadania,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",65365.77,2014,7
2684,33,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Passagens e Despesas com Locomoção,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5875.29,2014,7
2684,36,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Outros Serviços de Terceiros - Pessoa Física,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",61923.76,2014,7
14VN,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",4,3,20118,20000,2125,121,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Apoio à Realização de Grandes Eventos,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,"Programa de Gestão e Manutenção do Ministério do Planejamento, Orçamento e Gestão",Planejamento e Orçamento,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",948524.00,2014,7
7U23,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2070,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Implementação do Plano Nacional de Segurança Pública para a Realização dos Grandes Eventos,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Segurança Pública com Cidadania,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",199923.26,2014,7
2684,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",1916857.18,2014,7
2004,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,301,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Assistência Médica e Odontológica,"Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes",Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Atenção Básica,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",17269.33,2014,7
2012,46,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,331,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Auxílio-Alimentação,"Auxílio-Alimentação aos Servidores Civis, Empregados e Militares",Auxílio-Alimentação,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Proteção e Benefícios ao Trabalhador,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",462136.28,2014,7
2684,47,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Obrigações Tributárias e Contributivas,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",841.07,2014,7
2011,49,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,331,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Auxílio-Transporte,"Auxílio-Transporte aos Servidores Civis, Empregados e Militares",Auxílio-Transporte,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Proteção e Benefícios ao Trabalhador,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",17095.33,2014,7
